Day,Date,Topic
61,December 2 2025,"Final Review: Corporate & Legal Affairs (Chapter 1)"
62,December 3 2025,"Final Review: Business Strategy (Chapter 2)"
63,December 8 2025,"Final Review: IS Strategy & Development Tech (Chapters 3 & 4)"
64,December 9 2025,"Final Review: Project Management (Chapter 5)"
65,December 10 2025,"Final Review: Service Management & System Audit (Chapter 6)"
66,December 15 2025,"Full Morning Mock Exam 1 (Vol 1 & Vol 2 Topics)"
-,December 16 2025,"HOLIDAY: Victory Day"
67,December 17 2025,"Detailed Review of Mock Exam 1"
68,December 22 2025,"Full Morning Mock Exam 2 (Vol 1 & Vol 2 Topics)"
69,December 23 2025,"Detailed Review of Mock Exam 2"
70,December 24 2025,"Targeted Practice: Management Science & Calculation Problems"
71,December 29 2025,"Targeted Practice: Project Management Calculations (CPM, EVM)"
72,December 30 2025,"Full Morning Mock Exam 3 (Vol 1 & Vol 2 Topics)"
73,December 31 2025,"Detailed Review of Mock Exam 3"
74,January 5 2026,"Targeted Practice on Weak Areas"
75,January 6 2026,"Targeted Practice on Weak Areas"
76,January 7 2026,"Open Q&A and Final Review Session"
77,January 12 2026,"Self-Study and Practice"
78,January 13 2026,"Self-Study and Practice"
79,January 14 2026,"Self-Study and Practice"
80,January 19 2026,"Full Morning Mock Exam 4 (Final)"
81,January 20 2026,"Detailed Review of Mock Exam 4"
82,January 21 2026,"Course Wrap-up and Final Exam Strategies"
