Day,Date,Topic
27,August 11 2025,"Hardware: Logic Laws - Commutative, Associative, Distributive, De Morgan's (Ch 1-3.4.1)"
28,August 12 2025,"Hardware: Logic Design Practice - Simplifying Logical Expressions"
29,August 13 2025,"Hardware: Arithmetic Circuits - Half Adder & Full Adder (Ch 1-3.4.2)"
30,August 14 2025,"Hardware: Complementer and Arithmetic Circuit Design (Ch 1-3.4.2)"
-,August 15 2025,"HOLIDAY: National Mourning Day"
31,August 17 2025,"Hardware: CPU Configuration - Control Unit, ALU, Registers (Ch 1-3.1)"
32,August 18 2025,"Hardware: CPU Registers In-Depth - PC, IR, Accumulator, etc. (Ch 1-3.1)"
33,August 19 2025,"Hardware: CPU Clock, Bus (Internal, External, Address, Data, Control) (Ch 1-3.1)"
34,August 20 2025,"Hardware: Instruction Cycle - Fetch, Decode, Execute (Ch 1-3.3.2)"
35,August 21 2025,"Hardware: Machine Language Instructions & Types (Arithmetic, Branch, etc.) (Ch 1-3.3.1)"
36,August 24 2025,"Hardware: Addressing Modes - Immediate, Direct, Indirect (Ch 1-3.3.3)"
37,August 25 2025,"Hardware: Addressing Modes - Relative, Index, Base (Ch 1-3.3.3)"
38,August 26 2025,"Hardware: Interrupts - Types and Processing Sequence (Ch 1-3.3.4)"
39,August 27 2025,"Hardware: Memory Devices - RAM (SRAM, DRAM), ROM (PROM, EPROM) (Ch 1-3.2.1)"
40,August 28 2025,"Hardware: Main Memory Configuration & Capacity Expansion (Ch 1-3.2.2, 1-3.2.3)"
41,August 31 2025,"Hardware: High-Speed Memory Access - Cache Memory & Hit Ratio (Ch 1-3.5.1)"
42,September 1 2025,"Hardware: Cache Write Policies (Write-through, Write-back) & Disk Cache (Ch 1-3.5.1)"
43,September 2 2025,"Hardware: Memory Hierarchy & Memory Interleaving (Ch 1-3.5.1)"
44,September 3 2025,"Hardware: High-Speed Processors - Pipeline Control, RISC vs CISC (Ch 1-3.5.2)"
-,September 5 2025,"HOLIDAY: Eid-e-Miladun-Nabi"
45,September 4 2025,"Hardware: High-Speed Processors - Superscalar, VLIW, Parallel Processing (Ch 1-3.5.2)"
46,September 7 2025,"Hardware: Auxiliary Storage - Magnetic Disk (Track, Sector, Cylinder) (Ch 1-4.1)"
47,September 8 2025,"Hardware: Magnetic Disk - Storage Capacity Calculation (Ch 1-4.1.1)"
48,September 9 2025,"Hardware: Magnetic Disk - Average Access Time (Seek, Latency, Transfer) (Ch 1-4.1.3)"
49,September 10 2025,"Hardware: Optical Discs - CD, DVD, Blu-ray (Read-only, Write-once, Rewritable) (Ch 1-4.2)"
50,September 11 2025,"Hardware: Semiconductor Memory - SSD, RAM Disk, USB Memory, SD Card (Ch 1-4.3)"
51,September 14 2025,"Hardware: Input Devices - Keyboard, OCR, OMR, Barcode Reader, Scanner (Ch 1-5.1)"
52,September 15 2025,"Hardware: Input Devices - Mouse, Touchscreen, Digitizer, Biometrics (Ch 1-5.1)"
53,September 16 2025,"Hardware: Output Devices - Displays (CRT, LCD, PDP, OLED), Resolution (Ch 1-5.2.1)"
54,September 17 2025,"Hardware: Output Devices - Printers (Impact, Non-impact, Laser, Inkjet) (Ch 1-5.2.2)"
55,September 18 2025,"Hardware: I/O Control Methods - Program Control, DMA, Channel Control (Ch 1-5.4)"
56,September 21 2025,"Hardware: I/O Interfaces - Serial vs Parallel, USB, IEEE 1394, HDMI (Ch 1-5.5)"
57,September 22 2025,"Hardware: Review & Practice Questions (Chapter 1)"
58,September 23 2025,"Information Processing: System Types - Batch vs Real-time, Interactive (Ch 2-1)"
59,September 24 2025,"Information Processing: System Types - Centralized vs Distributed (Ch 2-1.3)"
60,September 25 2025,"Information Processing: Distributed Systems - Client/Server, P2P (Ch 2-1.3.1)"
61,September 28 2025,"Information Processing: Distributed Systems - Three-tier C/S, Thin Client (Ch 2-1.3.1)"
62,September 29 2025,"Information Processing: Distributed Systems - Web Systems & Cloud Computing (SaaS, PaaS, IaaS) (Ch 2-1.3.1)"
63,September 30 2025,"Information Processing: High-Reliability Systems - Series vs Parallel (Ch 2-2.1, 2-2.2)"
-,October 1 2025,"HOLIDAY: Durga Puja"
-,October 2 2025,"HOLIDAY: Durga Puja"
64,October 5 2025,"Information Processing: High-Reliability Systems - Duplex, Dual, Fault Tolerant (Ch 2-2, 2-3.1)"
65,October 6 2025,"Information Processing: Multiplexing - Multiprocessor Systems, RAID (0, 1, 5) (Ch 2-3)"
66,October 7 2025,"Information Processing: System Evaluation - Performance (Throughput, Response Time) (Ch 2-3.1.1)"
67,October 8 2025,"Information Processing: System Evaluation - CPU Performance (MIPS, FLOPS) (Ch 2-3.1.2)"
68,October 9 2025,"Information Processing: System Evaluation - Reliability (MTBF, MTTR, Availability) (Ch 2-3.2)"
69,October 12 2025,"Information Processing: System Evaluation - Availability of Series & Parallel Systems (Ch 2-3.2.3)"
70,October 13 2025,"Information Processing: System Evaluation - Cost Efficiency (TCO) (Ch 2-3.3)"
71,October 14 2025,"Information Processing: Human Interface - Usability, Accessibility, GUI (Ch 2-4)"
72,October 15 2025,"Information Processing: Human Interface - Screen & Form Design, Universal Design (Ch 2-4.2)"
73,October 16 2025,"Information Processing: Multimedia - Technology, Sound & Image Processing (Ch 2-5.1)"
74,October 19 2025,"Information Processing: Multimedia - Data Compression (Lossy, Lossless), Applications (CG, VR) (Ch 2-5)"
75,October 20 2025,"Information Processing: Review & Practice Questions (Chapter 2)"
76,October 21 2025,"Software: Classification - System vs Application Software, Middleware (Ch 3-1.1)"
77,October 22 2025,"Software: Classification by License - Packaged, Freeware, Shareware, OSS (Ch 3-1.2)"
78,October 23 2025,"Software: Operating System (OS) Functions & Configurations (Ch 3-2.1)"
79,October 26 2025,"Software: OS Management - Job Management & Spooling (Ch 3-2.2.1)"
80,October 27 2025,"Software: OS Management - Task (Process) Management & State Transition (Ch 3-2.2.2)"
81,October 28 2025,"Software: OS Management - Task Scheduling (Preemptive vs Non-preemptive) (Ch 3-2.2.2)"
82,October 29 2025,"Software: OS Management - Memory Management (Real Memory, Partitioning) (Ch 3-2.2.3)"
83,October 30 2025,"Software: OS Management - Fragmentation, Overlay, Swapping (Ch 3-2.2.3)"
84,November 2 2025,"Software: OS Management - Virtual Memory (Paging, Segmentation) (Ch 3-2.2.3)"
85,November 3 2025,"Software: OS Management - Page Replacement Algorithms (FIFO, LRU) & Thrashing (Ch 3-2.2.3)"
86,November 4 2025,"Software: Programming Languages Intro - High-level vs Low-level (Ch 3-3.1)"
87,November 5 2025,"Software: Language Processors - Compiler, Interpreter, Assembler (Ch 3-3.2)"
88,November 6 2025,"Software: Compilation Process - Lexical/Syntax Analysis, Optimization (Ch 3-3.2.1)"
89,November 9 2025,"Software: Program Attributes - Reusable, Reentrant, Recursive (Ch 3-3.3)"
90,November 10 2025,"Software: Files and Records - Logical vs Physical Records (Ch 3-4.1)"
91,November 11 2025,"Software: File Access Methods - Sequential, Direct, Dynamic (Ch 3-4.2)"
92,November 12 2025,"Software: File Organization - Sequential, Indexed Sequential (Ch 3-4.3)"
93,November 13 2025,"Software: File Organization - Direct (Hashing), Partitioned (Ch 3-4.3)"
94,November 16 2025,"Software: File Backup Strategies - Full, Differential, Incremental (Ch 3-4.5)"
95,November 17 2025,"Software: Review & Practice Questions (Chapter 3)"
96,November 18 2025,"Database: Intro - Database vs File, DBMS (Ch 4-1)"
97,November 19 2025,"Database: Database Design - Data Models (Conceptual, Logical, Physical) (Ch 4-1.2.1)"
98,November 20 2025,"Database: Relational Model - Tuples, Attributes, Keys (Primary, Foreign) (Ch 4-1.2.2)"
99,November 23 2025,"Database: Conceptual Design - E-R Diagrams (Entities, Relationships, Cardinality) (Ch 4-1.2.3)"
100,November 24 2025,"Database: Logical Design - Data Normalization (1NF) (Ch 4-1.2.4)"
101,November 25 2025,"Database: Logical Design - Data Normalization (2NF, 3NF) (Ch 4-1.2.4)"
102,November 26 2025,"Database: Normalization Practice"
103,November 27 2025,"Database: DBMS Functions - Definition, Manipulation, Control (Ch 4-1.3)"
104,November 30 2025,"Database: DBMS Control - Concurrency Control (Locking, Deadlock) (Ch 4-1.3.3)"
105,December 1 2025,"Database: DBMS Control - Failure Recovery (Rollback, Rollforward, Checkpoint) (Ch 4-1.3.3)"
106,December 2 2025,"Database: SQL - DDL (CREATE DATABASE, CREATE TABLE) (Ch 4-2.1)"
107,December 3 2025,"Database: SQL - DDL Constraints (PRIMARY KEY, FOREIGN KEY, NOT NULL, CHECK) (Ch 4-2.1)"
108,December 4 2025,"Database: SQL - DDL (CREATE VIEW, ALTER TABLE) (Ch 4-2.1)"
109,December 7 2025,"Database: SQL - DML (SELECT...FROM...WHERE) (Ch 4-2.2)"
110,December 8 2025,"Database: SQL - DML Operators (BETWEEN, LIKE, IN, IS NULL) (Ch 4-2.2.2)"
111,December 9 2025,"Database: SQL - DML (ORDER BY) (Ch 4-2.2.4)"
112,December 10 2025,"Database: SQL - DML Aggregate Functions (COUNT, SUM, AVG, MAX, MIN) (Ch 4-2.2.3)"
113,December 11 2025,"Database: SQL - DML (GROUP BY, HAVING) (Ch 4-2.2.3)"
114,December 14 2025,"Database: SQL - DML Practice Session 1"
-,December 16 2025,"HOLIDAY: Victory Day"
115,December 15 2025,"Database: SQL - Joins (Inner Join, Cross Join) (Ch 4-2.2.5)"
116,December 17 2025,"Database: SQL - Joins (Outer Join) & Subqueries (Ch 4-2.2.5, 4-2.2.6)"
117,December 18 2025,"Database: SQL - DML (INSERT, UPDATE, DELETE) (Ch 4-2.2.7)"
118,December 21 2025,"Database: SQL - DML Practice Session 2"
119,December 22 2025,"Database: Advanced Topics - Distributed DB, Data Warehouse, Data Mining (Ch 4-3)"
120,December 23 2025,"Database: Review & Practice Questions (Chapter 4)"
121,December 24 2025,"Networking: Intro - LAN vs WAN, Line Speed, Bit Error Rate (Ch 5-1.1)"
-,December 25 2025,"HOLIDAY: Christmas Day"
122,December 28 2025,"Networking: Basic Config - DTE, DCE, Modem, DSU (Ch 5-1.2)"
123,December 29 2025,"Networking: Basic Techniques - Modulation (AM, FM, PM), PCM (Ch 5-1.3.1)"
124,December 30 2025,"Networking: Basic Techniques - Synchronization Methods (Start-stop, SYN, Flag) (Ch 5-1.3.2)"
125,December 31 2025,"Networking: Basic Techniques - Error Control (Parity, Checksum, CRC) (Ch 5-1.3.3)"
126,January 1 2026,"Networking: Basic Techniques - Switching (Circuit, Packet, Frame Relay) (Ch 5-1.3.4)"
127,January 4 2026,"Networking: Transmission Control Procedures - Basic Procedure, HDLC (Ch 5-1.4)"
128,January 5 2026,"Networking: Communication Services - Public Line (ADSL, ISDN, FTTH) (Ch 5-1.5)"
129,January 6 2026,"Networking: Network Architecture - OSI Basic Reference Model (7 Layers) (Ch 5-2.2)"
130,January 7 2026,"Networking: Network Architecture - TCP/IP Model vs OSI (Ch 5-2.3)"
131,January 8 2026,"Networking: TCP/IP Protocols - Application & Transport Layers (HTTP, FTP, SMTP, TCP, UDP) (Ch 5-2.3)"
132,January 11 2026,"Networking: TCP/IP Protocols - Internet & Data Link Layers (IP, ICMP, ARP) (Ch 5-2.3)"
133,January 12 2026,"Networking: LAN Basics - Topology (Star, Ring, Bus), MAC (CSMA/CD, Token Passing) (Ch 5-3.1)"
134,January 13 2026,"Networking: LAN Devices - Repeater, Hub, Bridge, Switch (L2) (Ch 5-3.1.4)"
135,January 14 2026,"Networking: LAN Devices - Router, Gateway, Switch (L3) (Ch 5-3.1.4)"
136,January 15 2026,"Networking: The Internet - IP Addressing (IPv4, Classes) (Ch 5-4.1.2)"
137,January 18 2026,"Networking: The Internet - Subnetting & CIDR (Ch 5-4.1.2)"
138,January 19 2026,"Networking: The Internet - Private vs Global IP, NAT, NAPT (Ch 5-4.1.2)"
139,January 20 2026,"Networking: The Internet - DNS & Name Resolution (Ch 5-4.1.2)"
140,January 21 2026,"Networking: The Internet - DHCP (Ch 5-4.1.2)"
141,January 22 2026,"Networking: Review & Practice Questions (Chapter 5)"
142,January 25 2026,"Security: Overview - CIA Triad, Assets, Threats, Vulnerabilities (Ch 6-1.1)"
143,January 26 2026,"Security: Threats - Personal (Social Engineering), Technological (DoS, Phishing) (Ch 6-1.1.2)"
144,January 27 2026,"Security: Threats - Malware (Virus, Worm, Trojan, Spyware) (Ch 6-1.1.2)"
145,January 28 2026,"Security: Cryptography - Common Key (Symmetric) Cryptography (Ch 6-1.2.1)"
146,January 29 2026,"Security: Cryptography - Public Key (Asymmetric) Cryptography (Ch 6-1.2.1)"
-,February 4 2026,"HOLIDAY: Shab-e-Barat"
147,February 1 2026,"Security: Cryptography - Hybrid (Session Key) Cryptography (Ch 6-1.2.1)"
148,February 2 2026,"Security: Authentication - Message Authentication (Hashing, MAC) (Ch 6-1.2.2)"
149,February 3 2026,"Security: Authentication - Digital Signatures & PKI (Ch 6-1.2.2, 6-1.2.3)"
150,February 5 2026,"Security: Information Security Management - ISMS & PDCA Cycle (Ch 6-1.3)"
151,February 8 2026,"Security: Risk Management - Assessment & Treatment (Ch 6-1.3.2)"
152,February 9 2026,"Security: Technical Measures - Antivirus, Firewalls (Packet Filtering, App Gateway) (Ch 6-2.2, 6-2.4.2)"
153,February 10 2026,"Security: Technical Measures - IDS/IPS, VPN, Quarantine Networks (Ch 6-2.4)"
154,February 11 2026,"Security: Technical Measures - Wireless LAN Security (WEP, WPA/WPA2) (Ch 6-2.4.5)"
155,February 12 2026,"Security: Review & Practice Questions (Chapter 6)"
156,February 15 2026,"Data Structures: Intro - Arrays (1D, Multi-dimensional), Lists (Ch 7-1.1, 7-1.2)"
157,February 16 2026,"Data Structures: List Operations - Insertion & Deletion (Ch 7-1.2)"
158,February 17 2026,"Data Structures: Stacks (LIFO) & Queues (FIFO) (Ch 7-1.3)"
159,February 18 2026,"Data Structures: Trees - Terminology, Binary Trees (Ch 7-1.4)"
160,February 19 2026,"Data Structures: Tree Traversal - Pre-order, In-order, Post-order (Ch 7-1.4)"
161,February 22 2026,"Data Structures: Binary Search Trees (Ch 7-1.4.1)"
162,February 23 2026,"Data Structures: Heaps & Balanced Trees (AVL, B-Tree) (Ch 7-1.4.1, 7-1.4.2)"
163,February 24 2026,"Algorithms: Intro - Flowcharts & Three Basic Structures (Sequence, Selection, Iteration) (Ch 7-2.1)"
164,February 25 2026,"Algorithms: Search - Linear Search & Sentinel Method (Ch 7-2.2.1)"
165,February 26 2026,"Algorithms: Search - Binary Search (Ch 7-2.2.2)"
166,March 1 2026,"Algorithms: Search - Hash Search (Ch 7-2.2.3)"
167,March 2 2026,"Algorithms: Computational Complexity (Big O Notation) (Ch 7-2.2.4)"
168,March 3 2026,"Algorithms: Sort - Selection Sort, Bubble Sort (Ch 7-2.3.1, 7-2.3.2)"
169,March 4 2026,"Algorithms: Sort - Insertion Sort, Shell Sort (Ch 7-2.3.3)"
170,March 5 2026,"Algorithms: Sort - Quick Sort (Ch 7-2.3.4)"
171,March 8 2026,"Algorithms: Sort - Heap Sort, Merge Sort (Ch 7-2.3.1, 7-2.3.4)"
172,March 9 2026,"Algorithms: Sorting Algorithms Comparison & Practice"
173,March 10 2026,"Data Structures & Algorithms: Review & Practice Questions (Chapter 7)"
174,March 11 2026,"Final Review: Hardware (Chapters 1)"
175,March 12 2026,"Final Review: Information Processing Systems (Chapter 2)"
-,March 18 2026,"HOLIDAY: Shab-e-Qadr"
-,March 20 2026,"HOLIDAY: Eid-ul-Fitr"
-,March 21 2026,"HOLIDAY: Eid-ul-Fitr"
-,March 22 2026,"HOLIDAY: Eid-ul-Fitr"
-,March 23 2026,"HOLIDAY: Eid-ul-Fitr"
-,March 26 2026,"HOLIDAY: Independence Day"
176,March 15 2026,"Final Review: Software & Files (Chapter 3)"
177,March 16 2026,"Final Review: Database & SQL (Chapter 4)"
178,March 17 2026,"Final Review: Networking (Chapter 5)"
179,March 19 2026,"Final Review: Security (Chapter 6)"
180,March 24 2026,"Final Review: Data Structures & Algorithms (Chapter 7)"
181,March 25 2026,"Full Mock Exam 1"
182,March 29 2026,"Review of Mock Exam 1"
183,March 30 2026,"Full Mock Exam 2"
184,March 31 2026,"Review of Mock Exam 2"
185,April 1 2026,"Targeted Practice on Weak Areas"
186,April 2 2026,"Targeted Practice on Weak Areas"
187,April 5 2026,"Full Mock Exam 3"
188,April 6 2026,"Review of Mock Exam 3"
189,April 7 2026,"Final Q&A and Exam Strategies"
190,April 8 2026,"Final Preparation & Rest Day"
